Year,Month,Day,DJIAPercentChange
1993,1,4,0.24537275
1993,1,5,-0.039284419
1993,1,6,-0.081622782
1993,1,7,-1.095243858
1993,1,8,-0.529213827
1993,1,11,0.341359904
1993,1,12,0.055167341
1993,1,13,-0.030631624
1993,1,14,0.131756343
1993,1,15,0.097922213
1993,1,18,0.116168873
1993,1,19,-0.577116859
1993,1,20,-0.42997543
1993,1,21,0.33929673
1993,1,22,0.116815247
1993,1,25,1.086956522
1993,1,26,0.206548812
1993,1,27,-0.23037284
1993,1,28,0.452694902
1993,1,29,0.11190757
1993,2,1,0.670694864
1993,2,2,-0.105035712
1993,2,3,1.354883288
1993,2,4,1.271563222
1993,2,5,0.743407381
1993,2,8,-0.133639348
1993,2,9,-0.666181818
1993,2,10,-0.064429216
1993,2,11,0.301840347
1993,2,12,-0.885266018
1993,2,16,-2.420686402
1993,2,17,0.081583321
1993,2,18,-0.301914136
1993,2,19,0.605656835
1993,2,22,0.626091144
1993,2,23,-0.589291056
1993,2,24,0.999007011
1993,2,25,0.256219276
1993,2,26,0.169385754
1993,3,1,-0.456864839
1993,3,2,1.344102044
1993,3,3,0.10292604
1993,3,4,-0.149823737
1993,3,5,0.167701315
1993,3,8,1.90330729
1993,3,9,0.077823255
1993,3,10,0.178566286
1993,3,11,-0.612368111
1993,3,12,-0.580080051
1993,3,15,0.425929167
1993,3,16,0.0174297
1993,3,17,-0.473424339
1993,3,18,1.126349577
1993,3,19,0.173130194
1993,3,22,-0.233321811
1993,3,23,-0.046196044
1993,3,24,-0.476616887
1993,3,25,0.461484878
1993,3,26,-0.615375726
1993,3,29,0.438953488
1993,3,30,0.063673989
1993,3,31,-0.642119573
1993,4,1,0.125178306
1993,4,2,-1.99453393
1993,4,5,0.249199003
1993,4,6,-0.047348485
1993,4,7,0.574372335
1993,4,8,-0.01471887
1993,4,12,0.930369498
1993,4,13,0.463813774
1993,4,14,0.336817654
1993,4,15,0.00868156
1993,4,16,0.65684771
1993,4,19,-0.333467487
1993,4,20,-0.67781944
1993,4,21,-0.119064905
1993,4,22,-0.296563354
1993,4,23,-0.449084335
1993,4,26,-0.4511102
1993,4,27,0.514948211
1993,4,28,-0.070259668
1993,4,29,0.339827157
1993,4,30,0.07299057
1993,5,3,0.551406232
1993,5,4,-0.008704483
1993,5,5,0.084150659
1993,5,6,-0.208750109
1993,5,7,-0.136552486
1993,5,10,0.177470034
1993,5,11,0.740568641
1993,5,12,0.389183579
1993,5,13,-0.984981191
1993,5,14,-0.145011601
1993,5,17,0.200406622
1993,5,18,-0.159424911
1993,5,19,1.614214377
1993,5,20,0.665714286
1993,5,21,-0.865665711
1993,5,24,0.429454879
1993,5,25,0.250869491
1993,5,26,0.67110277
1993,5,27,0.412406079
1993,5,28,-0.770788793
1993,6,1,0.705902364
1993,6,2,0.033780931
1993,6,3,-0.242014915
1993,6,4,0.005641908
1993,6,7,-0.366703337
1993,6,8,-0.611534215
1993,6,9,0.039880359
1993,6,10,-0.575187221
1993,6,11,0.380903285
1993,6,14,0.276747504
1993,6,15,-0.645858822
1993,6,16,0.564146621
1993,6,17,0.290457613
1993,6,18,-0.769471024
1993,6,21,0.457823051
1993,6,22,-0.378831036
1993,6,23,-0.877769836
1993,6,24,0.686512057
1993,6,25,0.008594511
1993,6,28,1.125784182
1993,6,29,-0.320095179
1993,6,30,-0.07957032
1993,7,1,-0.15926737
1993,7,2,-0.754878222
1993,7,6,-0.978760046
1993,7,7,0.747847764
1993,7,8,1.113444774
1993,7,9,0.190644207
1993,7,12,0.093720712
1993,7,13,-0.255362615
1993,7,14,0.773738408
1993,7,15,0.234291199
1993,7,16,-0.636458363
1993,7,19,0.198395828
1993,7,20,0.268718355
1993,7,21,0.299029564
1993,7,22,-0.849412162
1993,7,23,0.609894474
1993,7,26,0.592099698
1993,7,27,-0.061664378
1993,7,28,-0.336558687
1993,7,29,0.391163641
1993,7,30,-0.782082189
1993,8,2,0.607430428
1993,8,3,0.0084246
1993,8,4,-0.258332631
1993,8,5,-0.087272318
1993,8,6,0.321217244
1993,8,9,0.44096169
1993,8,10,-0.095075641
1993,8,11,0.29949338
1993,8,12,-0.399062343
1993,8,13,0.016810961
1993,8,16,0.266128806
1993,8,17,0.217925793
1993,8,18,0.499024254
1993,8,19,0.199728148
1993,8,20,0.09412807
1993,8,23,-0.262757572
1993,8,24,0.915141431
1993,8,25,0.359989008
1993,8,26,-0.106787875
1993,8,27,-0.208321912
1993,8,30,0.093391199
1993,8,31,0.200329308
1993,9,1,-0.169802536
1993,9,2,-0.521247702
1993,9,3,0.21510714
1993,9,7,-0.737499656
1993,9,8,-0.50456045
1993,9,9,0.016718214
1993,9,10,0.894274969
1993,9,13,0.347912525
1993,9,14,-0.506301249
1993,9,15,0.495049505
1993,9,16,-0.077056444
1993,9,17,-0.484728304
1993,9,20,-1.037832452
1993,9,21,-1.079478718
1993,9,22,0.277055298
1993,9,23,-0.202988441
1993,9,24,0.093225606
1993,9,27,0.694307245
1993,9,28,-0.047649746
1993,9,29,0.008412787
1993,9,30,-0.314050977
1993,10,1,0.731343703
1993,10,4,-0.092150457
1993,10,5,0.265526301
1993,10,6,0.326150587
1993,10,7,-0.427896638
1993,10,8,0.03069539
1993,10,11,0.242698134
1993,10,12,-0.008348639
1993,10,13,0.28109432
1993,10,14,0.510657194
1993,10,15,0.223658052
1993,10,18,0.347136127
1993,10,19,-0.192186256
1993,10,20,0.269578852
1993,10,21,-0.244163397
1993,10,22,0.360266212
1993,10,25,0.665881128
1993,10,26,-0.02994338
1993,10,27,-0.212389381
1993,10,28,0.633066827
1993,10,29,-0.19794463
1993,11,1,0.326033799
1993,11,2,0.135405947
1993,11,3,-0.965491129
1993,11,4,-1.007673612
1993,11,5,0.507586207
1993,11,8,0.123511006
1993,11,9,-0.213821651
1993,11,10,0.64558666
1993,11,11,-0.032754668
1993,11,12,0.603429445
1993,11,15,-0.189985073
1993,11,16,0.905506458
1993,11,17,-0.172469548
1993,11,18,-0.515603067
1993,11,19,0.236073047
1993,11,22,-0.641580942
1993,11,23,0.106258344
1993,11,24,0.364705242
1993,11,26,-0.097624471
1993,11,29,-0.168295331
1993,11,30,0.168579042
1993,12,1,0.355591748
1993,12,2,0.135241135
1993,12,3,0.054023392
1993,12,6,0.164682379
1993,12,7,0.234488707
1993,12,8,0.419478878
1993,12,9,-0.125853528
1993,12,10,0.292240871
1993,12,13,0.633571257
1993,12,14,-0.579109553
1993,12,15,-0.686688398
1993,12,16,0.247518093
1993,12,17,0.684361665
1993,12,20,0.095959057
1993,12,21,-0.266297401
1993,12,22,0.453914344
1993,12,23,-0.119610866
1993,12,27,0.936743221
1993,12,28,0.023728545
1993,12,29,0.013179398
1993,12,30,-0.484937933
1993,12,31,-0.577345798
1994,1,3,0.066593857
1994,1,4,0.726720971
1994,1,5,0.39377362
1994,1,6,0.134252922
1994,1,7,0.44428087
1994,1,10,1.16991206
1994,1,11,-0.393222093
1994,1,12,-0.044152404
1994,1,13,-0.161097542
1994,1,14,0.64542994
1994,1,17,0.080161357
1994,1,18,0
1994,1,19,0.364312844
1994,1,20,0.195654413
1994,1,21,0.578108941
1994,1,24,-0.043428279
1994,1,25,-0.447250051
1994,1,26,0.326033938
1994,1,27,0.468270215
1994,1,28,0.486463082
1994,1,31,0.836417093
1994,2,1,-0.361954555
1994,2,2,0.290110999
1994,2,3,-0.196201736
1994,2,4,-2.427098823
1994,2,7,0.901482668
1994,2,8,-0.007679902
1994,2,9,0.663082437
1994,2,10,-0.930847682
1994,2,11,-0.012835982
1994,2,14,0.238779912
1994,2,15,0.619861172
1994,2,16,0.229106738
1994,2,17,-0.373352297
1994,2,18,-0.894814664
1994,2,22,0.622508039
1994,2,23,-0.511286653
1994,2,24,-1.33103785
1994,2,25,-0.028646579
1994,2,28,-0.177138689
1994,3,1,-0.594989562
1994,3,2,0.590675207
1994,3,3,-0.190515959
1994,3,4,0.206568351
1994,3,7,0.623646374
1994,3,8,-0.116695192
1994,3,9,0.044136355
1994,3,10,-0.591685265
1994,3,11,0.837988827
1994,3,14,0.007766588
1994,3,15,-0.346880663
1994,3,16,-0.036367415
1994,3,17,0.439166363
1994,3,18,0.791700085
1994,3,21,-0.790615294
1994,3,22,-0.059509949
1994,3,23,0.178636152
1994,3,24,-1.14606509
1994,3,25,-1.214310015
1994,3,28,-0.32585371
1994,3,29,-1.68509462
1994,3,30,-1.951878886
1994,3,31,0.253667145
1994,4,4,-1.092730726
1994,4,5,1.390344828
1994,4,6,0.116994069
1994,4,7,0.369595347
1994,4,8,-0.514445076
1994,4,11,0.394632991
1994,4,12,-0.192474517
1994,4,13,-0.548659587
1994,4,14,0.04916018
1994,4,15,-0.049136025
1994,4,18,-1.122490782
1994,4,19,-0.016572754
1994,4,20,-0.582905133
1994,4,21,1.4949843
1994,4,22,-0.10403833
1994,4,25,1.564940938
1994,4,26,-0.170003778
1994,4,28,-0.84335721
1994,4,29,0.365291825
1994,5,2,0.524214357
1994,5,3,0.362064307
1994,5,4,-0.446909326
1994,5,5,-0.048677592
1994,5,6,-0.716991342
1994,5,9,-1.103692601
1994,5,10,0.755028934
1994,5,11,-0.749370966
1994,5,12,0.655828052
1994,5,13,0.188896189
1994,5,16,0.3224308
1994,5,17,1.337328068
1994,5,18,0.33059184
1994,5,19,0.699188299
1994,5,20,0.196860867
1994,5,23,-0.637213254
1994,5,24,0.074818298
1994,5,25,0.269678522
1994,5,26,-0.047932256
1994,5,27,0.095910484
1994,5,31,0.034601155
1994,6,1,0.06385696
1994,6,2,-0.047862157
1994,6,3,0.351157223
1994,6,6,-0.098085998
1994,6,7,-0.334350537
1994,6,8,-0.170398573
1994,6,9,0.096012802
1994,6,10,0.543550665
1994,6,13,0.254405724
1994,6,14,0.837937141
1994,6,15,-0.639614134
1994,6,16,0.551392993
1994,6,17,-0.905202949
1994,6,20,-0.774309883
1994,6,21,-0.905956867
1994,6,22,0.453074434
1994,6,23,-0.689969931
1994,6,24,-1.681490092
1994,6,27,1.336302895
1994,6,28,-0.431420431
1994,6,29,-0.068127316
1994,6,30,-1.14804614
1994,7,1,0.59862069
1994,7,5,0.159047906
1994,7,6,0.602327173
1994,7,7,0.37828276
1994,7,8,0.561218957
1994,7,11,-0.164460381
1994,7,12,-0.008101539
1994,7,13,0.04321171
1994,7,14,0.944847879
1994,7,15,0.387773113
1994,7,18,0.042623475
1994,7,19,-0.189061085
1994,7,20,-0.560253982
1994,7,21,0.139511174
1994,7,22,0.066979236
1994,7,25,0.18206158
1994,7,26,-0.163023144
1994,7,27,-0.406884921
1994,7,28,0.27684451
1994,7,29,0.903291519
1994,8,1,0.895205207
1994,8,2,-0.052656522
1994,8,3,-0.092197461
1994,8,4,-0.709257257
1994,8,5,-0.499229911
1994,8,8,0.181478516
1994,8,9,0.053279344
1994,8,10,0.292880345
1994,8,11,-0.422108952
1994,8,12,0.474552774
1994,8,15,-0.222888529
1994,8,16,0.646225035
1994,8,17,-0.21402526
1994,8,18,-0.55871839
1994,8,19,-0.007988497
1994,8,22,-0.103858752
1994,8,23,0.655790147
1994,8,24,1.877747762
1994,8,25,-0.436737983
1994,8,26,1.157244507
1994,8,29,0.458632862
1994,8,30,0.47192798
1994,8,31,-0.099558369
1994,9,1,-0.306638728
1994,9,2,-0.404982827
1994,9,6,0.337142269
1994,9,7,-0.318054736
1994,9,8,0.571237424
1994,9,9,-0.69962328
1994,9,12,-0.374212863
1994,9,13,0.50773256
1994,9,14,0.396917446
1994,9,15,1.50437707
1994,9,16,-0.518475429
1994,9,19,0.083896883
1994,9,20,-1.599694812
1994,9,21,-0.452301569
1994,9,22,-0.376466923
1994,9,23,-0.138125147
1994,9,26,0.454094681
1994,9,27,0.358516055
1994,9,28,0.393476573
1994,9,29,-0.60852973
1994,9,30,-0.295750532
1994,10,3,0.096273938
1994,10,4,-1.19056903
1994,10,5,-0.363052801
1994,10,6,-0.308927204
1994,10,7,0.577391673
1994,10,10,0.629377995
1994,10,11,1.24836772
1994,10,12,-0.041271151
1994,10,13,0.304264865
1994,10,14,0.526992288
1994,10,17,0.342667178
1994,10,18,-0.163103035
1994,10,19,0.472239949
1994,10,20,-0.630081301
1994,10,21,-0.508795255
1994,10,24,-0.925140698
1994,10,25,-0.121910098
1994,10,26,-0.062327949
1994,10,27,0.701626735
1994,10,28,1.432184145
1994,10,31,-0.574961203
1994,11,1,-1.143778307
1994,11,2,-0.680747528
1994,11,3,0.229339866
1994,11,4,-0.998465899
1994,11,7,0.036769534
1994,11,8,0.572343721
1994,11,9,0.028715378
1994,11,10,-0.255754476
1994,11,11,-0.536368394
1994,11,14,0.741812442
1994,11,15,-0.086168629
1994,11,16,0.491323437
1994,11,17,-0.444710288
1994,11,18,-0.334369531
1994,11,21,-1.200429848
1994,11,22,-2.427377636
1994,11,23,-0.092441544
1994,11,25,0.87867247
1994,11,28,0.844052531
1994,11,29,-0.026740828
1994,11,30,0.016048788
1994,12,1,-1.024283269
1994,12,2,1.207814315
1994,12,5,-0.098782572
1994,12,6,0.109570005
1994,12,7,-0.280298986
1994,12,8,-1.333154865
1994,12,9,0.146512196
1994,12,12,0.739616916
1994,12,13,-0.083369191
1994,12,14,0.834387533
1994,12,15,0.512505672
1994,12,16,1.107422653
1994,12,19,-0.433389368
1994,12,20,-0.61993827
1994,12,21,0.918454024
1994,12,22,0.344573623
1994,12,23,0.484940628
1994,12,27,0.73824803
1994,12,28,-0.57487635
1994,12,29,-0.158874853
1994,12,30,0.026086503
1995,1,3,0.106926768
1995,1,4,0.500195389
1995,1,5,-0.176270835
1995,1,6,0.428471266
1995,1,9,-0.15514299
1995,1,10,0.137255918
1995,1,11,-0.121550676
1995,1,12,-0.077679959
1995,1,13,1.282715729
1995,1,16,0.608929257
1995,1,17,-0.040688655
1995,1,18,-0.043249294
1995,1,19,-1.191142784
1995,1,20,-0.329709958
1995,1,23,-0.0516876
1995,1,24,-0.121528676
1995,1,25,0.227819919
1995,1,26,-0.02841276
1995,1,27,-0.320380322
1995,1,30,-0.671332297
1995,1,31,0.307925159
1995,2,1,0.096256406
1995,2,2,0.602973282
1995,2,3,1.35183943
1995,2,6,0.231634679
1995,2,7,-0.007618661
1995,2,8,-0.050794941
1995,2,9,-0.06860802
1995,2,10,0.162738068
1995,2,13,0.383336295
1995,2,14,0.103687219
1995,2,15,0.704848041
1995,2,16,0.032612513
1995,2,17,-0.852664577
1995,2,21,0.265587454
