Year,Month,Inflation,Interest_Rate,UNRATE,GDP,Gross_Investment
1993,1,3.254,3.020,7.300,5.7575,13.2744
1993,2,3.247,3.030,7.100,5.7575,13.2744
1993,3,3.019,3.070,7.000,5.7575,13.2744
1993,4,3.156,2.960,7.100,5.2262,8.0344
1993,5,3.221,3.000,7.100,5.2262,8.0344
1993,6,2.998,3.040,7.000,5.2262,8.0344
1993,7,2.847,3.060,6.900,4.8039,6.9999
1993,8,2.841,3.030,6.800,4.8039,6.9999
1993,9,2.764,3.090,6.700,4.8039,6.9999
1993,10,2.752,2.990,6.800,4.9835,8.9965
1993,11,2.745,3.020,6.600,4.9835,8.9965
1993,12,2.811,2.960,6.500,4.9835,8.9965
1994,1,2.451,3.050,6.600,5.7388,10.8731
1994,2,2.516,3.250,6.600,5.7388,10.8731
1994,3,2.652,3.340,6.500,5.7388,10.8731
1994,4,2.364,3.560,6.400,6.4326,15.5754
1994,5,2.288,4.010,6.100,6.4326,15.5754
1994,6,2.495,4.250,6.100,6.4326,15.5754
1994,7,2.699,4.260,6.100,6.5238,14.2261
1994,8,2.901,4.470,6.000,6.5238,14.2261
1994,9,2.966,4.730,5.900,6.5238,14.2261
1994,10,2.610,4.760,5.800,6.2955,13.3916
1994,11,2.603,5.290,5.600,6.2955,13.3916
1994,12,2.597,5.450,5.500,6.2955,13.3916
1995,1,2.871,5.530,5.600,5.7147,10.4780
1995,2,2.863,5.920,5.400,5.7147,10.4780
1995,3,2.787,5.980,5.400,5.7147,10.4780
1995,4,3.125,6.050,5.800,4.6098,3.0863
1995,5,3.119,6.010,5.600,4.6098,3.0863
1995,6,3.043,6.000,5.600,4.6098,3.0863
1995,7,2.830,5.850,5.700,4.8022,4.1142
1995,8,2.617,5.740,5.700,4.8022,4.1142
1995,9,2.545,5.800,5.600,4.8022,4.1142
1995,10,2.744,5.760,5.500,4.2560,2.1084
1995,11,2.603,5.800,5.600,4.2560,2.1084
1995,12,2.532,5.600,5.600,4.2560,2.1084
1996,1,2.791,5.560,5.600,4.6020,2.0915
1996,2,2.717,5.220,5.500,4.6020,2.0915
1996,3,2.844,5.310,5.500,4.6020,2.0915
1996,4,2.833,5.220,5.600,5.9602,8.7731
1996,5,2.827,5.240,5.600,5.9602,8.7731
1996,6,2.822,5.270,5.300,5.9602,8.7731
1996,7,2.883,5.400,5.500,5.8346,13.1289
1996,8,2.812,5.220,5.100,5.8346,13.1289
1996,9,3.005,5.300,5.200,5.8346,13.1289
1996,10,3.062,5.240,5.200,6.2680,10.8598
1996,11,3.253,5.310,5.400,6.2680,10.8598
1996,12,3.379,5.290,5.400,6.2680,10.8598
1997,1,3.038,5.250,5.300,6.2806,12.3253
1997,2,3.032,5.190,5.200,6.2806,12.3253
1997,3,2.765,5.390,5.200,6.2806,12.3253
1997,4,2.434,5.510,5.100,6.0500,12.1145
1997,5,2.238,5.500,4.900,6.0500,12.1145
1997,6,2.234,5.560,5.000,6.0500,12.1145
1997,7,2.166,5.520,4.900,6.5353,10.2351
1997,8,2.290,5.540,4.800,6.5353,10.2351
1997,9,2.219,5.540,4.900,6.5353,10.2351
1997,10,2.086,5.500,4.700,6.1277,11.1072
1997,11,1.890,5.520,4.600,6.1277,11.1072
1997,12,1.697,5.500,4.700,6.1277,11.1072
1998,1,1.631,5.560,4.600,6.0247,12.4750
1998,2,1.440,5.510,4.600,6.0247,12.4750
1998,3,1.377,5.490,4.700,6.0247,12.4750
1998,4,1.438,5.450,4.300,5.2927,6.6378
1998,5,1.689,5.490,4.400,5.2927,6.6378
1998,6,1.623,5.560,4.500,5.2927,6.6378
1998,7,1.746,5.540,4.500,5.2901,7.1603
1998,8,1.617,5.550,4.500,5.2901,7.1603
1998,9,1.427,5.510,4.600,5.2901,7.1603
1998,10,1.486,5.070,4.500,6.0243,9.2692
1998,11,1.484,4.830,4.400,6.0243,9.2692
1998,12,1.607,4.680,4.400,6.0243,9.2692
1999,1,1.667,4.630,4.300,6.2120,8.2192
1999,2,1.667,4.760,4.400,6.2120,8.2192
1999,3,1.728,4.810,4.200,6.2120,8.2192
1999,4,2.281,4.740,4.300,6.1814,8.9970
1999,5,2.091,4.740,4.200,6.1814,8.9970
1999,6,1.966,4.760,4.300,6.1814,8.9970
1999,7,2.145,4.990,4.300,6.1479,8.7339
1999,8,2.264,5.070,4.200,6.1479,8.7339
1999,9,2.630,5.220,4.200,6.1479,8.7339
1999,10,2.563,5.200,4.100,6.5138,8.6887
1999,11,2.620,5.420,4.100,6.5138,8.6887
1999,12,2.676,5.300,4.000,6.5138,8.6887
2000,1,2.793,5.450,4.000,6.2183,5.2663
2000,2,3.218,5.730,4.100,6.2183,5.2663
2000,3,3.762,5.850,4.000,6.2183,5.2663
2000,4,3.014,6.020,3.800,7.5968,12.3054
2000,5,3.133,6.270,4.000,7.5968,12.3054
2000,6,3.735,6.530,4.000,7.5968,12.3054
2000,7,3.599,6.540,4.000,6.5893,8.7781
2000,8,3.351,6.500,4.100,6.5893,8.7781
2000,9,3.457,6.520,3.900,6.5893,8.7781
2000,10,3.450,6.510,3.900,5.4513,5.8435
2000,11,3.444,6.510,3.900,5.4513,5.8435
2000,12,3.436,6.400,3.900,5.4513,5.8435
2001,1,3.721,5.980,4.200,4.6989,1.0603
2001,2,3.529,5.490,4.200,4.6989,1.0603
2001,3,2.982,5.310,4.300,4.6989,1.0603
2001,4,3.218,4.800,4.400,3.4168,-4.9501
2001,5,3.563,4.210,4.300,3.4168,-4.9501
2001,6,3.194,3.970,4.500,3.4168,-4.9501
2001,7,2.721,3.770,4.600,2.6790,-5.5855
2001,8,2.721,3.650,4.900,2.6790,-5.5855
